http://dbpedia.org/ontology/Architect;;;<A> has architected in how many cities?;SELECT DISTINCT COUNT(?uri) where { ?x dbo:architect <A> . ?x dbp:locationTown ?uri . ?uri a dbo:City };select distinct ?a where { ?x dbo:architect ?a . ?x dbp:locationTown ?uri . ?uri a dbo:City };901504aad5414f9b8ea3323d9f9f9e3a
http://dbpedia.org/ontology/ComicsCreator;;;<A> has created how many comics character ?;SELECT DISTINCT COUNT(?uri) where { ?uri dbp:creators <A> . ?uri a dbo:ComicsCharacter };select distinct ?a where { ?uri dbp:creators ?a . ?uri a dbo:ComicsCharacter };d5eec8fa9c454d71af0be385eb6d2193
http://dbpedia.org/ontology/Person;http://dbpedia.org/ontology/WrittenWork;;<B> is a work of <A>?;ASK where { <B> dbo:previousWork <A> };select distinct ?a, ?b where { ?b dbo:previousWork ?a };11122ef7a8fb46d89a3d6b4d6757b990
http://dbpedia.org/ontology/ArchitecturalStructure;;;By what style was <A> made?;SELECT DISTINCT ?uri where { <A> dbp:style ?uri };select distinct ?a where { ?a dbp:style ?uri };0f3429d03fd64266b8c2d76addb5c46c
http://dbpedia.org/ontology/Broadcaster;;;Count the number of judges who've come on <A> shows.;SELECT DISTINCT COUNT(?uri) where { ?x dbo:network <A> . ?x dbp:judges ?uri };select distinct ?a where { ?x dbo:network ?a . ?x dbp:judges ?uri };f43f2072568f44aaa9450a64e62ca3da
http://dbpedia.org/class/yago/Actor109765278|http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/class/yago/FilmMaker110088390|http://dbpedia.org/class/yago/Editor110044879|http://dbpedia.org/ontology/ComicsCreator;http://dbpedia.org/ontology/Person;;Did <A> create <B>?;ASK where { <B> dbp:creators <A> };select distinct ?a, ?b where { ?b dbp:creators ?a };c1908db186d144338bc6f399f9c6864c
http://dbpedia.org/ontology/Person;http://dbpedia.org/ontology/ComicsCreator;;Did <B> create <A>?;ASK where { <A> dbp:creators <B> };select distinct ?a, ?b where { ?a dbp:creators ?b };b7900ed86fb84fd7a7f479831e72bfcb
http://dbpedia.org/ontology/Person;http://dbpedia.org/class/yago/Actor109765278|http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/class/yago/FilmMaker110088390|http://dbpedia.org/class/yago/Editor110044879|http://dbpedia.org/ontology/ComicsCreator;;Did <B> create the <A>?;ASK where { <A> dbp:creators <B> };select distinct ?a, ?b where { ?a dbp:creators ?b };7645a46261d14d09a5d676889c29a695
;http://dbpedia.org/class/yago/Editor110044879;;Did <B> design <A>?;ASK where { <A> dbo:designCompany <B> };select distinct ?a, ?b where { ?a dbo:designCompany ?b };4d489bcad0334bd58b83cdeedbd1c5ec
;http://dbpedia.org/ontology/MusicGenre;;Did <B> originate in <A>?;ASK where { <B> dbp:stylisticOrigins <A> };select distinct ?a, ?b where { ?b dbp:stylisticOrigins ?a };0e1747e68f354dd482d80063d88e8466
;http://dbpedia.org/ontology/MusicGenre;;Did <B> originate in <A>?;ASK where { <B> dbo:stylisticOrigin <A> };select distinct ?a, ?b where { ?b dbo:stylisticOrigin ?a };df518a80342e4fb984830368c9884d96
;http://dbpedia.org/ontology/WrittenWork;;Does <B> belong to the genre <A>?;ASK where { <B> dbo:literaryGenre <A> };select distinct ?a, ?b where { ?b dbo:literaryGenre ?a };63ca129cc4fa4a1a982e2980c540e35b
;http://dbpedia.org/ontology/ArchitecturalStructure;;Does <B> follow the architectural style of <A>?;ASK where { <B> dbp:architecture <A> };select distinct ?a, ?b where { ?b dbp:architecture ?a };4a9b50b6f10f4e23bfacaee43d35e802
http://dbpedia.org/ontology/MusicGenre;;;Does the stylistic origins of <A> lie in the <B>?;ASK where { <A> dbp:stylisticOrigins <B> };select distinct ?a, ?b where { ?a dbp:stylisticOrigins ?b };574ac42d309a4676893b0f1e4f291a36
